id,status,error,n_chars,method
355,error_fetch,HTTP Error 403: Forbidden,0,
357,too_short,,83,html
358,ok,,54524,pdf
359,error_fetch,HTTP Error 403: Forbidden,0,
360,ok,,59992,pdf
361,too_short,,0,html
362,error_fetch,HTTP Error 403: Forbidden,0,
364,ok,,7463,html
365,too_short,,167,html
366,error_fetch,HTTP Error 403: Forbidden,0,
368,too_short,,82,html
370,ok,,101761,pdf
371,ok,,63461,pdf
372,too_short,,11,html
373,ok,,49241,pdf
374,too_short,,167,html
376,ok,,44039,pdf
377,blocked_antibot,,1200,html
378,error_fetch,HTTP Error 403: Forbidden,0,
380,ok,,62911,pdf
381,error_fetch,HTTP Error 403: Forbidden,0,
382,too_short,,0,html
383,error_fetch,HTTP Error 403: Forbidden,0,
384,ok,,65044,pdf
385,ok,,59988,pdf
386,error_fetch,HTTP Error 403: Forbidden,0,
387,too_short,,167,html
389,too_short,,83,html
391,ok,,96195,pdf
396,too_short,,11,html
397,too_short,,0,html
401,ok,,37113,pdf
403,ok,,71344,pdf
408,error_fetch,HTTP Error 403: Forbidden,0,
410,error_fetch,HTTP Error 403: Forbidden,0,
412,ok,,48625,pdf
413,error_fetch,HTTP Error 403: Forbidden,0,
414,error_fetch,HTTP Error 403: Forbidden,0,
415,error_fetch,HTTP Error 403: Forbidden,0,
416,ok,,83893,pdf
418,error_fetch,HTTP Error 403: Forbidden,0,
419,ok,,46681,pdf
420,too_short,,167,html
421,ok,,93991,pdf
423,ok,,10558,pdf
424,error_fetch,HTTP Error 403: Forbidden,0,
426,ok,,58699,pdf
428,too_short,,11,html
429,ok,,73769,pdf
430,ok,,113510,pdf
431,ok,,72046,pdf
432,ok,,122375,pdf
434,error_fetch,HTTP Error 403: Forbidden,0,
435,ok,,67249,pdf
438,ok,,43986,pdf
440,ok,,107253,pdf
442,too_short,,11,html
443,ok,,64991,pdf
444,error_fetch,HTTP Error 403: Forbidden,0,
449,error_fetch,HTTP Error 403: Forbidden,0,
450,blocked_antibot,,1200,html
452,too_short,,0,html
453,error_fetch,HTTP Error 403: Forbidden,0,
458,ok,,73508,pdf
459,error_fetch,"<urlopen error [Errno 8] nodename nor servname provided, or not known>",0,
461,ok,,51190,pdf
467,ok,,86685,pdf
468,too_short,,82,html
471,too_short,,83,html
472,error_fetch,HTTP Error 404: Not Found,0,
473,ok,,70148,html
475,ok,,76195,pdf
477,too_short,,82,html
480,error_fetch,HTTP Error 403: Forbidden,0,
481,ok,,70014,pdf
483,ok,,15101,html
484,too_short,,0,html
486,ok,,53168,pdf
487,ok,,14747,html
489,error_fetch,HTTP Error 403: Forbidden,0,
498,ok,,89542,pdf
500,ok,,57742,pdf
502,ok,,64376,pdf
503,error_fetch,<urlopen error timed out>,0,
505,too_short,,83,html
510,ok,,56749,pdf
512,error_fetch,HTTP Error 403: Forbidden,0,
515,error_fetch,HTTP Error 403: Forbidden,0,
518,ok,,51767,html
519,ok,,63409,pdf
520,too_short,,82,html
521,too_short,,11,html
522,too_short,,0,html
524,too_short,,98,html
528,error_fetch,HTTP Error 403: Forbidden,0,
530,too_short,,83,html
531,error_fetch,HTTP Error 403: Forbidden,0,
532,too_short,,83,html
534,error_fetch,HTTP Error 403: Forbidden,0,
539,error_fetch,HTTP Error 503: Service Unavailable,0,
